,fluxes
R_MMETt2,0.0
R_MOHMT,0.0
R_LNSTLS,0.0013794019007141488
R_MEVK4,0.0
R_PMEVK,0.008276411404284893
R_NABTNO,0.0
R_NADDPp,0.0
R_SQLEr,0.0013794019007141488
R_NADH2_u6m,1.825871223673299
R_NADK,0.0
R_NADKm,0.0
R_NADN,0.0
R_NADNm,0.0
R_NADPPPS,0.0
R_NADPPPSm,0.0
R_NADS1,0.0
R_NADS1m,0.0
R_NAPRT,0.0
R_NAPRTm,0.0
R_NAt3_1,0.0
R_NDP3,0.0
R_NDP3g,0.0
R_NDP4,0.0
R_NDPK1,0.0046244459469169065
R_NDPK2,0.02087987894613913
R_NDPK3,0.009447678406543649
R_NDPK4,0.0
R_NDPK5,0.0
R_NDPK6,0.0
R_NDPK7,0.0
R_NDPK8,0.0
R_NDPK9,0.01827847620324184
R_SQLS,0.0013794019007141488
R_AASAD2,0.0015524711948390285
R_NH4tp,0.0
R_NMNAT,0.0
R_NMNATm,0.0
R_NMNTP,0.0
R_NMNt2m,0.0
R_NMNt2p,0.0
R_NNAMr,0.0
R_NNAMrm,0.0
R_NNAT,0.0
R_NNATm,0.0
R_NNDPR,0.0
R_NNDPRm,0.0
R_NTD1,0.0
R_NTD10,0.0
R_NTD11,0.0
R_NTD2,0.0
R_NTD3,0.0
R_NTD4,0.0
R_NTD5,0.0
R_NTD6,0.0
R_NTD7,0.0
R_NTD8,0.0
R_NTD9,0.0
R_NTP3,0.0
R_NTP4,0.0
R_NTRLASE,0.0
R_NTRLASE2,0.0
R_NTRLASE3,0.0
R_AATA,0.0015524711948390285
R_HACNHm,0.0015524711948390285
R_HICITDm,0.0015524711948390285
R_OAAt2m,0.6515935779200703
R_MCITDm,0.0015524711948390285
R_OCDCAt,0.0
R_OCDCEAt,0.0
R_OCDCYAt,0.0
R_OCTDP_5tm,0.0
R_OHPBAT,0.0
R_OHPHM6n,0.0
R_OMBZLM6m,0.0
R_OXAGm,0.0015524711948390285
R_OMCDCm,0.0
R_OMMBLHX6m,0.0
R_SACCD1,0.0015524711948390285
R_OMPHHX6m,0.0
R_OPHBDC6,0.0
R_OPHHX6,0.0
R_ORNDC,0.0
R_ORNTA,0.0012118460713682235
R_SACCD2,0.0015524711948390285
R_ORNt2r,0.0
R_THRD_Lm,0.0005201286236272394
R_DOLPt2er,-0.0025357492506470534
R_ERGSTter,0.0012702429222905727
R_OXO2Ctm,0.0
R_P5CDm,0.0
R_ERGTETROLter,0.0012702429222905727
R_PAK_SC,0.0
R_PAN4Ptm,0.0
R_PANTS,0.0
R_PANTtm,0.0
R_G6Pter,0.0026496448230047213
R_PAPt,0.0
R_PAPtm,0.0
R_PAtm_SC,0.0
R_MANNANter,-0.0025357492506470534
R_PCLAD,0.0
R_PDE1,0.0
R_PDE2,0.0
R_PDE3,0.0
R_PDE4,0.0
R_PDE5,0.0
R_O2ter,0.0013794019007141488
R_PDX5PO,0.0
R_PETHCT,0.0
R_SQ23EPXter,0.0013794019007141488
R_PEtg_SC,0.0
R_PEtm_SC,-2.1017152094953204e-05
R_PEtv_SC,0.0
R_SQLter,0.0013794019007141488
R_PFK26,0.0
R_PFK_2,0.0
R_PFK_3,0.0
R_PGAMT,0.0
R_ATPS,0.0
